Date,daily death,change in daily,total death,change in total death,daily case,change in daily case,total case,change in total case,recovery
'Jan. 23',8,0,25,0,56,265,844,0,34
'Jan. 24',16,8,41,16,472,207,1317,472,4
'Jan. 25',15,-1,56,15,698,226,2015,689,11
'Jan. 26',24,9,80,24,785,87,2800,785,2
'Jan. 27',26,2,106,26,1781,996,4581,1781,9
'Jan. 28',26,0,132,26,1477,-304,6058,1477,43
'Jan. 29',38,12,170,38,1755,278,7813,1755,21
'Jan. 30',43,5,213,43,2008,253,9821,2008,47
'Jan. 31',46,3,259,46,2127,119,11948,2127,72
'Feb. 01',45,-1,304,45,2603,476,14551,2603,85
'Feb. 02',58,13,362,58,2838,235,17387,2838,176
'Feb. 03',64,6,426,64,3239,401,20626,3239,139
'Feb. 04',66,2,492,66,3925,686,24553,3925,264
'Feb. 05',73,7,565,73,3723,-202,28276,3723,266
'Feb. 06',73,0,638,73,3163,-560,31439,3163,389
'Feb. 07',86,13,724,86,3437,274,34876,3437,521
'Feb. 08',89,3,813,89,2676,-761,37552,2676,601
'Feb. 09',97,8,910,97,3001,325,40553,3001,639
'Feb. 10',108,11,1018,108,2546,-455,43099,2546,720
'Feb. 11',97,-11,1115,97,2071,-475,45170,2071,760
'Feb. 12',146,49,1261,146,14113,12042,59283,14113,1184
'Feb. 13',122,-24,1383,122,5154,-8959,64437,5154,821
'Feb. 14',143,21,1526,143,2663,-2491,67100,2663,1388
'Feb. 15',143,0,1669,143,2097,-566,69197,2097,1342
'Feb. 16',106,-37,1775,106,2132,35,71329,2132,1435
'Feb. 17',98,-8,1873,98,2003,-129,73332,2003,1739
'Feb. 18',138,38,2009,136,1852,-151,75184,1852,1841
'Feb. 19',117,-19,2126,117,516,-1136,75700,516,1804
'Feb. 20',121,4,2247,121,976,460,76676,976,2167
'Feb. 21',113,-8,2360,113,996,-536,77673,996,2371
'Feb. 22',100,-13,2460,100,978,-18,78651,978,1755
'Feb. 23',158,58,2518,158,749,-229,79400,749,2341
'Feb. 24',81,-77,2699,81,833,279,80088,833,2475
'Feb. 25',64,-17,2763,64,910,28,80997,910,2585
